name,sku,price,stock,description
iPhone 15 Pro 128GB,IP15-128-BLK,45999,50,Latest Apple flagship smartphone with A17 Pro chip
Samsung Galaxy S24 Ultra,SGS24-256-GRY,38999,30,Premium Android device with S Pen
MacBook Pro 16 M3,MBP16-512-SLV,89999,15,Professional laptop for developers and creators
AirPods Pro 2nd Gen,APP2-WHT,8999,100,Active noise cancellation wireless earbuds
iPad Air 11,IPA11-256-BLU,24999,45,Versatile tablet with M2 chip
Sony WH-1000XM5,SONY-XM5-BLK,12999,60,Industry-leading noise canceling headphones
Dell XPS 15,DELLXPS15-512,54999,20,Premium Windows laptop with OLED display
Logitech MX Master 3S,LMX3S-BLK,3499,150,Advanced wireless mouse for productivity
Samsung 55 4K TV,SAM55-4K-2024,32999,25,Crystal UHD smart TV with Tizen OS
Nintendo Switch OLED,NSW-OLED-WHT,14999,80,Gaming console with vibrant OLED screen
